,,Fiscal Year,Fiscal Year,Fiscal Year
Need State,Fiscal Week,2021,2022,2023
Need State 1,1,317435.25,348637.5,372921.75
Need State 1,2,309234.75,343799.25,357329.25
Need State 1,3,331149,346592.25,352571.25
Need State 1,4,291885,344795.25,331310.25
Need State 1,5,308238,338146.5,383741.25
Need State 1,6,267614.25,307596.75,307953.75
Need State 1,7,277594.5,302883,318695.25
Need State 1,8,288708,343384.5,324699.75
Need State 1,9,305426.25,341754,316498.5
Need State 1,10,366468.75,396704.25,338994.75
Need State 1,11,411339,385340.25,331202.25
Need State 1,12,474183,439730.25,392841
Need State 1,13,600133.5,560076,415261.5
Need State 1,14,563619.75,524874,446516.25
Need State 1,15,744040.5,577040.25,509654.25
Need State 1,16,591930.75,482043,604993.5
Need State 1,17,812364,642017.25,677659.5
Need State 1,18,669479.25,617886,607311
Need State 1,19,764657.25,818531.25,756333
Need State 1,20,1016664.75,824489.25,917866.5
Need State 1,21,949762.5,801347.25,766143.75
Need State 1,22,875752.5,877654.5,795881.25
Need State 1,23,885507.75,984391.5,807651
Need State 1,24,722193.75,811932.75,641279.25
Need State 1,25,818238.75,996766.5,742467
Need State 1,26,693630.75,871884,651739.5
Need State 1,27,605286.75,695706,612801
Need State 1,28,593844,756621,583380
Need State 1,29,559867.5,709096.5,517752
Need State 1,30,595377.75,681260.25,538866.75
Need State 1,31,547923,612480.75,507602.25
Need State 1,32,551245.5,563415.75,465302.25
Need State 1,33,695661.75,703843.5,541957.5
Need State 1,34,687503.25,666964.5,606539.25
Need State 1,35,740111.25,751821.75,634995
Need State 1,36,656641.5,657760.5,636396
Need State 1,37,478269.75,533272.5,467595
Need State 1,38,487155.75,495897.75,449606.25
Need State 1,39,428911.5,437820.75,405447.75
Need State 1,40,448910.25,455137.5,456428.25
Need State 1,41,378968.25,402846,338671.5
Need State 1,42,384597.75,387969,0
Need State 1,43,381980.25,383616.75,0
Need State 1,44,330258,343582.5,0
Need State 1,45,335463.75,386592,0
Need State 1,46,299685,403802.25,0
Need State 1,47,288753.75,350793,0
Need State 1,48,328204.5,331698,0
Need State 1,49,323834.25,324807.75,0
Need State 1,50,309387,316959,0
Need State 1,51,373874.25,361508.25,0
Need State 1,52,352412.25,405971.25,0
Need State 2,1,410931,299068.5,354576
Need State 2,2,447469.5,330452.25,403224.75
Need State 2,3,471435,331642.5,375645.75
Need State 2,4,427167,324370.5,370831.5
Need State 2,5,529465.5,359309.25,438576.75
Need State 2,6,417973.5,305830.5,412379.25
Need State 2,7,470085,306318.75,342176.25
Need State 2,8,469544.25,282371.25,416317.5
Need State 2,9,441350.25,329583.75,399917.25
Need State 2,10,413960.25,285531.75,520320
Need State 2,11,472459.5,301209.75,396754.5
Need State 2,12,390435,290700,450873.75
Need State 2,13,395699.25,388444.5,377766.75
Need State 2,14,356919,440656.5,411349.5
Need State 2,15,445212.75,372479.25,348357
Need State 2,16,422745,379185,419491.5
Need State 2,17,454966.5,388831.5,409578
Need State 2,18,400087.5,378947.25,388634.25
Need State 2,19,432171,374893.5,359190
Need State 2,20,393274.5,417912.75,454953.75
Need State 2,21,408126,338514.75,328719.75
Need State 2,22,381229.5,405162,476118
Need State 2,23,434532,376378.5,384534.75
Need State 2,24,390393,406348.5,402104.25
Need State 2,25,369716.25,349650,329693.25
Need State 2,26,334209,357029.25,365973.75
Need State 2,27,343597.5,364499.25,348327
Need State 2,28,314562.75,366444.75,396051.75
Need State 2,29,382468.5,362702.25,358400.25
Need State 2,30,307947,347877,349249.5
Need State 2,31,416457.75,347859,393296.25
Need State 2,32,314933.25,365229.75,362776.5
Need State 2,33,384623.25,370592.25,346780.5
Need State 2,34,313235.25,434151.75,432546
Need State 2,35,383862.75,348401.25,335984.25
Need State 2,36,318623.25,343767.75,391353
Need State 2,37,369570.75,333474,358837.5
Need State 2,38,285762,374175,402045.75
Need State 2,39,400496.25,323683.5,338208
Need State 2,40,300524.25,386416.5,391362
Need State 2,41,331294.5,327807,351225.75
Need State 2,42,334574.25,439293.75,0
Need State 2,43,420952.5,419065.5,0
Need State 2,44,343806,387028.5,0
Need State 2,45,414551.25,392511.75,0
Need State 2,46,364275,452697.75,0
Need State 2,47,527122.5,469730.25,0
Need State 2,48,464865,542994,0
Need State 2,49,405858,469477.5,0
Need State 2,50,598563,590160.75,0
Need State 2,51,600968.25,613407.75,0
Need State 2,52,407785.5,570708.75,0
Need State 3,1,355992.75,298375.5,306138
Need State 3,2,432966,324578.25,419254.5
Need State 3,3,325530,275375.25,301220.25
Need State 3,4,409405.5,348705,351375.75
Need State 3,5,313095.75,315834,324630
Need State 3,6,402543.75,337423.5,361350
Need State 3,7,288683.25,285927.75,327872.25
Need State 3,8,522767.25,392266.5,370796.25
Need State 3,9,327960,322031.25,309635.25
Need State 3,10,429768,343164,367994.25
Need State 3,11,333696,299349,285425.25
Need State 3,12,425903.25,341650.5,331062.75
Need State 3,13,313379.25,275298,293667.75
Need State 3,14,467704.5,371924.25,304743
Need State 3,15,350557.5,298653,243654.75
Need State 3,16,410649,317124.75,358572
Need State 3,17,338541,317007.75,290220
Need State 3,18,502823.25,360345.75,334182.75
Need State 3,19,314199,285820.5,281482.5
Need State 3,20,440163,335220,334521.75
Need State 3,21,329523,323421,269499.75
Need State 3,22,462633,365874.75,333930.75
Need State 3,23,317057.25,324720.75,292230.75
Need State 3,24,486275.25,405487.5,376217.25
Need State 3,25,301119,356679.75,294372.75
Need State 3,26,487630.5,421110,345997.5
Need State 3,27,337101,376256.25,284214.75
Need State 3,28,444928.5,414412.5,334276.5
Need State 3,29,313857.75,353679.75,330488.25
Need State 3,30,500107.5,436925.25,332345.25
Need State 3,31,313391.25,359648.25,339026.25
Need State 3,32,389408.25,391567.5,335833.5
Need State 3,33,340911.75,367183.5,298444.5
Need State 3,34,461373,415620.75,360573.75
Need State 3,35,319853.25,335940,284043
Need State 3,36,472932,427062.75,349973.25
Need State 3,37,293533.5,324510,258033.75
Need State 3,38,402376.5,315984.75,288267.75
Need State 3,39,306233.25,307959,281512.5
Need State 3,40,386547,397505.25,331614
Need State 3,41,326609.25,302183.25,271016.25
Need State 3,42,383744.25,375518.25,0
Need State 3,43,255436.5,288664.5,0
Need State 3,44,358208.25,346174.5,0
Need State 3,45,266328.75,287500.5,0
Need State 3,46,333616.5,333471.75,0
Need State 3,47,287940,301569.75,0
Need State 3,48,407856,405353.25,0
Need State 3,49,246740.25,313395,0
Need State 3,50,364957.5,405828.75,0
Need State 3,51,383296.5,382609.5,0
Need State 3,52,249810.75,364111.5,0
Need State 4,1,451255.5,416754,424666.5
Need State 4,2,472152.75,473402.25,443360.25
Need State 4,3,465115.5,432791.25,430446
Need State 4,4,401831.25,382820.25,345584.25
Need State 4,5,501825.75,498989.25,563610
Need State 4,6,423258,402324,348691.5
Need State 4,7,420210.75,427413.75,428863.5
Need State 4,8,457369.5,390536.25,384984.75
Need State 4,9,441514.5,409771.5,411399
Need State 4,10,361330.5,351147,430935.75
Need State 4,11,431964,404808,409077.75
Need State 4,12,362648.25,359508,387983.25
Need State 4,13,473433.75,469857.75,414111.75
Need State 4,14,434118,410714.25,392545.5
Need State 4,15,470531.25,444729.75,415935
Need State 4,16,602490,387538.5,414772.5
Need State 4,17,451764.75,427175.25,446573.25
Need State 4,18,399734.25,352068,402546.75
