Fiscal Year,Fiscal Week,Need State 1,Need State 2,Need State 3,Need State 4,Need State 5
2021,1,132818.25,251858.25,209473.5,373678.5,246819.75
2021,2,395708.25,510633.75,683112,597628.5,465099.75
2021,3,207779.25,525278.25,627825.75,300238.5,548790.75
2021,4,323169.75,480166.5,318566.25,319001.25,553418.25
2021,5,71536.5,304409.25,439665,433508.25,323542.5
2021,6,980441.25,460572,445863.75,640492.5,524925
2021,7,316326,283466.25,334146.75,448128,462306.75
2021,8,480405,419211,332299.5,412890,509691.75
2021,9,1341342.75,321424.5,345800.25,331031.25,224058.75
2021,10,2721590.25,285894,399765,461514.75,420538.5
2021,11,808580.25,389976,251854.5,388106.25,287581.5
2021,12,462552,357771,462864.75,476425.5,660348.75
2021,13,1345166.25,275889.75,264009.75,488613.75,864904.5
2021,14,1344056.25,354687,588178.5,475796.25,992937
2021,15,780374.25,328035.75,463776.75,357441.75,555201.75
2021,16,416756.25,259767.75,327388.5,518808,324018.75
2021,17,783196.5,290293.5,212003.25,343884,407784.75
2021,18,964353.75,319240.5,289918.5,460024.5,588853.5
2021,19,644009.25,261920.25,229689,368431.5,462042.75
2021,20,210880.5,271785,175822.5,186488.25,437219.25
2021,21,572421,516226.5,468210.75,295438.5,1303386
2021,22,1371993.75,402544.5,401921.25,341385.75,444084
2021,23,188688.75,389661.75,328473.75,536329.5,475248
2021,24,265803,522888,582267.75,491120.25,424869
2021,25,582181.5,442374.75,697846.5,366459.75,669768
2021,26,374456.25,371931,733339.5,477507,816594
2021,27,744354.75,447534,622235.25,272110.5,697385.25
2021,28,153197.25,430443,473646,349866,506658.75
2021,29,403191,351768,531840,451622.25,442292.25
2021,30,566452.5,304865.25,177859.5,309791.25,447265.5
2021,31,487445.25,542931.75,353543.25,629710.5,585342
2021,32,1052920.5,483064.5,272973.75,742052.25,531677.25
2021,33,658275.75,334887.75,341965.5,715980.75,1149696
2021,34,520768.5,179756.25,220227,336958.5,772803
2021,35,324585,552717.75,177987,249434.25,350067.75
2021,36,320163,170965.5,219709.5,329004,431654.25
2021,37,398962.5,419973.75,266729.25,459801.75,401247.75
2021,38,632085.75,565623,481889.25,444409.5,477400.5
2021,39,1025997.75,282459,560955,545457.75,686050.5
2021,40,80189.25,267213.75,243669,414002.25,236986.5
2021,41,650490,468106.5,323962.5,835918.5,1000242.75
2021,42,319992,286435.5,129718.5,285377.25,381074.25
2021,43,192120.75,478903.5,237707.25,263670,387342
2021,44,223115.25,512168.25,229542.75,396127.5,344643
2021,45,247068,596028.75,377853,362800.5,474536.25
2021,46,163740,341327.25,352458,322544.25,336150
2021,47,523181.25,506841,477817.5,525870.75,332483.25
2021,48,384503.25,367848.75,159486,446012.25,206840.25
2021,49,343218,330722.25,375309,370164.75,354144
2021,50,314396.25,256461,398690.25,302901.75,370041.75
2021,51,804323.25,395858.25,326622,790806.75,785989.5
2021,52,118671.75,95872.5,152532.75,225032.25,301517.25
2022,1,225132,239328.75,146636.25,231120.75,323888.25
2022,2,720135,299952,398277,638800.5,564081
2022,3,227398.5,367634.25,406825.5,573999,328036.5
2022,4,295862.25,250038,297513,300548.25,472599.75
2022,5,473947.5,253847.25,424525.5,455489.25,517918.5
2022,6,615947.25,243423.75,524013.75,436341,266755.5
2022,7,405015,328047,393878.25,448062.75,311679.75
2022,8,273339,188490.75,168665.25,193704,177261.75
2022,9,1633242,361269.75,269997.75,408852.75,1193739
2022,10,1767609,414115.5,213970.5,477458.25,670185.75
2022,11,401660.25,324297,317165.25,236302.5,291765.75
2022,12,923920.5,453584.25,465645.75,419783.25,680735.25
